,Name,Price,Link,Img_url
0,Laptop Dell Inspiron 15 3520,16.490.000đ,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-25p2312.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_2__2_4.png
1,Laptop MSI Gaming Thin 15 B13UC-2081VN,18.490.000đ,https://cellphones.com.vn/laptop-msi-gaming-thin-15-b13uc-2081vn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_5__2.png
2,Laptop ASUS Gaming VivoBook K3605ZC-RP564W,19.290.000đ,https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zc-rp564w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t162730.053.png
3,Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,9.490.000đ,https://cellphones.com.vn/laptop-acer-aspire-3-spin-14-a3sp14-31pt-387z.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__3_13.png
4,Laptop MSI Modern 15 B12MO-487VN,14.990.000đ,https://cellphones.com.vn/laptop-msi-modern-15-b12mo-487vn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__2_31.png
5,Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN,15.990.000đ,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14iah8-83bf002nvn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__1_91.png
6,Laptop Lenovo LOQ 15ARP9 83JC007HVN,21.390.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc007hvn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__4_84.png
7,Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W,16.290.000đ,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405za-km264w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__5_13.png
8,Laptop Acer Gaming Aspire 5 A515-58GM-53PZ,15.490.000đ,https://cellphones.com.vn/laptop-acer-gaming-aspire-5-a515-58gm-53pz.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_26_.png
9,Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W,20.290.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn095w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_13__1.png
