Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price EUR;Price USD;Option 1 Name;Option 1 Value;Image 1 Url;Image 2 Url
1;laptop asus gaming vivobook k3605zc-rp564w;Laptop ASUS Gaming VivoBook K3605ZC-RP564W;;;Active;;;;;;;;;;;;;;;;;;1;Default Title;;;;;;;;;;;;;;;19.290.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t162730.053.png;
2;laptop msi gaming thin 15 b13uc-2081vn;Laptop MSI Gaming Thin 15 B13UC-2081VN;;;Active;;;;;;;;;;;;;;;;;;2;Default Title;;;;;;;;;;;;;;;18.490.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_5__2.png;
3;laptop msi modern 15 b12mo-487vn;Laptop MSI Modern 15 B12MO-487VN;;;Active;;;;;;;;;;;;;;;;;;3;Default Title;;;;;;;;;;;;;;;14.990.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__2_31.png;
4;laptop lenovo ideapad slim 5 14iah8 83bf002nvn;Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN;;;Active;;;;;;;;;;;;;;;;;;4;Default Title;;;;;;;;;;;;;;;15.990.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__1_91.png;
5;laptop acer aspire 3 spin a3sp14-31pt-387z;Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z;;;Active;;;;;;;;;;;;;;;;;;5;Default Title;;;;;;;;;;;;;;;9.490.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__3_13.png;
6;laptop dell inspiron 15 3520;Laptop Dell Inspiron 15 3520;;;Active;;;;;;;;;;;;;;;;;;6;Default Title;;;;;;;;;;;;;;;16.490.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_2__2_4.png;
7;laptop lenovo loq 15arp9 83jc007hvn;Laptop Lenovo LOQ 15ARP9 83JC007HVN;;;Active;;;;;;;;;;;;;;;;;;7;Default Title;;;;;;;;;;;;;;;21.390.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__4_84.png;
8;laptop asus vivobook 14 oled a1405za-km264w;Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W;;;Active;;;;;;;;;;;;;;;;;;8;Default Title;;;;;;;;;;;;;;;16.290.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__5_13.png;
9;laptop asus tuf gaming f15 fx507zc4-hn095w;Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W;;;Active;;;;;;;;;;;;;;;;;;9;Default Title;;;;;;;;;;;;;;;20.290.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_13__1.png;
10;laptop acer gaming aspire 5 a515-58gm-53pz;Laptop Acer Gaming Aspire 5 A515-58GM-53PZ;;;Active;;;;;;;;;;;;;;;;;;10;Default Title;;;;;;;;;;;;;;;15.490.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_26_.png;
11;laptop acer aspire 3 a314-42p-r3b3 nx.ksfsv.001;Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001;;;Active;;;;;;;;;;;;;;;;;;11;Default Title;;;;;;;;;;;;;;;11.990.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/t/ctm.png;
12;apple macbook air m1 256gb 2020 i chính hãng apple việt nam;Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam;;;Active;;;;;;;;;;;;;;;;;;12;Default Title;;;;;;;;;;;;;;;18.490.000đ;Title;Default Title;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_5_1.png;
