Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price VND;Option 1 Name;Option 1 Value;Image 1 Url;Sales Channel 1 Id;Sales Channel 1 Name;Sales Channel 1 Description
prod_01JA7X4TT82FV3Y1RQ97JNWK3P;Laptop_ASUS_Gaming_VivoBook_K3605ZC-RP564W;Laptop ASUS Gaming VivoBook K3605ZC-RP564W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t162730.053.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5AZE6MAME097ZF7M6V1Y;Laptop ASUS Gaming VivoBook K3605ZC-RP564W;;;100;False;False;;;;;;;;;19290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t162730.053.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X4VCZM82SGRANB23D5TKW;Laptop_MSI_Gaming_Thin_15_B13UC-2081VN;Laptop MSI Gaming Thin 15 B13UC-2081VN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_5__2.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5BGMF9D1JT9FCVY8Z7BC;Laptop MSI Gaming Thin 15 B13UC-2081VN;;;100;False;False;;;;;;;;;18490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_5__2.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X4W01F03KXCKPHVFF0V7A;Laptop_MSI_Modern_15_B12MO-487VN;Laptop MSI Modern 15 B12MO-487VN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__2_31.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5C1TEHMGC3VH3YKR53MH;Laptop MSI Modern 15 B12MO-487VN;;;100;False;False;;;;;;;;;14990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__2_31.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X4WK36N3TSQ9P03MF1CEA;Laptop_Lenovo_Ideapad_Slim_5_14IAH8_83BF002NVN;Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__1_91.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5CKA0M4QQE9T2G4AN16F;Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN;;;100;False;False;;;;;;;;;15990000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__1_91.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X4X5VT4Z44CQVNAXN6J3Y;Laptop_Acer_Aspire_3_Spin_A3SP14-31PT-387Z;Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__3_13.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5D53A30M5EEH6Z38VJR9;Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z;;;100;False;False;;;;;;;;;9490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__3_13.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X4XSH5DWWDS1DMHCQP2XR;Laptop_Dell_Inspiron_15_3520;Laptop Dell Inspiron 15 3520;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_2__2_4.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5DPXQ6G0MYH2WGBED9PD;Laptop Dell Inspiron 15 3520;;;100;False;False;;;;;;;;;16490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_2__2_4.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X4YC9X66DPT9CA4GQK9K6;Laptop_Lenovo_LOQ_15ARP9_83JC007HVN;Laptop Lenovo LOQ 15ARP9 83JC007HVN;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__4_84.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5E8DBG1586P6DZJ0VBHZ;Laptop Lenovo LOQ 15ARP9 83JC007HVN;;;100;False;False;;;;;;;;;21390000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__4_84.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X4Z09Z0C8C7KJENZ5XZD5;Laptop_ASUS_Vivobook_14_OLED_A1405ZA-KM264W;Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__5_13.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5ESM1X9NBCHCHG1THJRZ;Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W;;;100;False;False;;;;;;;;;16290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__5_13.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X4ZK1480445MH2QG15NJK;Laptop_ASUS_TUF_Gaming_F15_FX507ZC4-HN095W;Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_13__1.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5FCBN7PFK53NMV8B4WWZ;Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W;;;100;False;False;;;;;;;;;20290000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_13__1.png;Default Sales Channel;Default Sales Channel;Created by Medusa
prod_01JA7X506QWBGSQECBWY75QSAC;Laptop_Acer_Gaming_Aspire_5_A515-58GM-53PZ;Laptop Acer Gaming Aspire 5 A515-58GM-53PZ;;'Every programmer's best friend.';published;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_26_.png;400;;;;;;;;;;;;False;;Default Shipping Profile;default;variant_01JA7X5FYSDCVCSFEEQSB5EX8P;Laptop Acer Gaming Aspire 5 A515-58GM-53PZ;;;100;False;False;;;;;;;;;15490000;Size;One Size;https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_26_.png;Default Sales Channel;Default Sales Channel;Created by Medusa
